input_str,input_list,title,key,label
"Eb6, A%7, D7, Gm7, C7, Fm7, Bbsus, Bb7, A%7, D7, Gm7, C7, Fm7, Bbsus, Bb7, Eb^7, Gbo7, Fm7, Bb7, Eb^7","['Bbm7', 'Bbm7', 'Bbm7', 'Bbm7', 'Eb7', 'Eb7', 'Bbm7', 'Bbm7', 'A7', 'B7', 'Bbm7']",Let's Call The Whole Thing Off,E-,Gbo7
"Gm7, C7, Fm7, Bbsus, Bb7, A%7, D7, Gm7, C7, Fm7, Bbsus, Bb7, Eb^7, Gbo7, Fm7, Bb7, Eb^7, Gbo7, Fm7, Bb7","['Bb7', 'Bb7', 'Bb7', 'Bb7', 'Eb7', 'Eb7', 'Bb7', 'Bb7', 'F7', 'Eb7', 'Bb7']",Let's Call The Whole Thing Off,E-,Bbm7
"Bbsus, Bb7, A%7, D7, Gm7, C7, Fm7, Bbsus, Bb7, Eb^7, Gbo7, Fm7, Bb7, Eb^7, Gbo7, Fm7, Bb7, Bbm7, Eb7, Ab^7","['Bb7', 'Bb7', 'Bb7', 'Bb7', 'Ebm7', 'Ab7', 'Db^7', 'Gb^7', 'C%7', 'F7', 'Bbm7']",Let's Call The Whole Thing Off,E-,Abm6
"D7, Gm7, C7, Fm7, Bbsus, Bb7, Eb^7, Gbo7, Fm7, Bb7, Eb^7, Gbo7, Fm7, Bb7, Bbm7, Eb7, Ab^7, Abm6, Eb^7, Fm7","['Bb7', 'Eb7', 'Bb7', 'Bb7', 'Eb7', 'Eb7', 'Bb7', 'Bb7', 'Cm7', 'F7', 'Bb7']",Let's Call The Whole Thing Off,E-,G7
"Fm7, Bbsus, Bb7, Eb^7, Gbo7, Fm7, Bb7, Eb^7, Gbo7, Fm7, Bb7, Bbm7, Eb7, Ab^7, Abm6, Eb^7, Fm7, G7, C7, Fm7","['Cm7', 'Cm7', 'Cm7', 'Cm7', 'Fm7', 'Fm7', 'Cm7', 'Cm7', 'Ab7', 'G7', 'Cm7']",Let's Call The Whole Thing Off,E-,Bb7
"Bbsus, Bbsus, Bbsus, Bbsus, Bbsus, Bbsus, Bbsus, Bbsus, Gsus, Gsus, Gsus, Gsus, Gsus, Gsus, Gsus, Gsus, Bm7, E7, A^7, Bbm7","['Bb7', 'Eb7', 'Bb7', 'Bb7', 'Eb7', 'Eb7', 'Bb7', 'Bb7', 'Cm7', 'F7', 'Bb7']","Sound For Sore Ears, A",E-,Eb7
"Bbsus, Bbsus, Bbsus, Bbsus, Bbsus, Gsus, Gsus, Gsus, Gsus, Gsus, Gsus, Gsus, Gsus, Bm7, E7, A^7, Bbm7, Eb7, Ab^7, Ab^7","['F7', 'Bbsus', 'F7', 'B7', 'Bb7', 'Eb7', 'Ab7', 'Db7', 'C7', 'C7', 'F7']","Sound For Sore Ears, A",E-,F^7
"F7, Eb7, F7, Eb7, F7, Eb7, F7, F7, F^7, Bb7, E%7, A7, Dm7, Ab7, G7, Gm7, C7, Eb6, E6, F6","['G7', 'C7', 'G7', 'G7', 'C7', 'C7', 'G7', 'G7', 'D7', 'C7', 'G7']",Seven Steps To Heaven,F,F^7
"Eb7, F7, Eb7, F7, F7, F^7, Bb7, E%7, A7, Dm7, Ab7, G7, Gm7, C7, Eb6, E6, F6, F^7, Bb7, E%7","['Bb7', 'Eb7', 'Bb7', 'Bb7', 'Eb7', 'Eb7', 'Bb7', 'Bb7', 'F7', 'F7', 'Bb7']",Seven Steps To Heaven,F,A7
"F7, F7, F^7, Bb7, E%7, A7, Dm7, Ab7, G7, Gm7, C7, Eb6, E6, F6, F^7, Bb7, E%7, A7, Dm7, Ab7","['Bb7', 'Eb7', 'Bb7', 'Bb7', 'Eb7', 'Eb7', 'Bb7', 'Bb7', 'Cm7', 'F7', 'Bb7']",Seven Steps To Heaven,F,G7
"Bb7, E%7, A7, Dm7, Ab7, G7, Gm7, C7, Eb6, E6, F6, F^7, Bb7, E%7, A7, Dm7, Ab7, G7, Gm7, C7","['Bb7', 'Eb7', 'Bb7', 'Bb7', 'Eb7', 'Ab7', 'Eb7', 'G%7', 'C7', 'Cm7', 'F7', 'Bb7']",Seven Steps To Heaven,F,Eb6
"Dm7, Ab7, G7, Gm7, C7, Eb6, E6, F6, F^7, Bb7, E%7, A7, Dm7, Ab7, G7, Gm7, C7, Eb6, E6, F6","['Fm7', 'Fm7', 'Fm7', 'Fm7', 'Db7', 'Db7', 'Fm7', 'Fm7', 'Db7', 'Bb^7', 'G%7', 'C7']",Seven Steps To Heaven,F,C^7
"Gm7, C7, Eb6, E6, F6, F^7, Bb7, E%7, A7, Dm7, Ab7, G7, Gm7, C7, Eb6, E6, F6, C^7, Dm7, Em7","['F7', 'Bb7', 'F7', 'F7', 'Bb7', 'Bb7', 'F7', 'Am7', 'D7', 'Gm7', 'C7', 'F7']",Seven Steps To Heaven,F,Fm7
"E6, F6, F^7, Bb7, E%7, A7, Dm7, Ab7, G7, Gm7, C7, Eb6, E6, F6, C^7, Dm7, Em7, Fm7, Bb7, Eb^7","['F7', 'Bb7', 'F7', 'F7', 'Bb7', 'Bb7', 'F7', 'F7', 'C7', 'Db7', 'C7', 'F7']",Seven Steps To Heaven,F,Abm7
"Bb7, E%7, A7, Dm7, Ab7, G7, Gm7, C7, Eb6, E6, F6, C^7, Dm7, Em7, Fm7, Bb7, Eb^7, Abm7, Db7, Gb^7","['Bb7', 'Cm7', 'F7', 'Bb7', 'Bb7', 'Eb7', 'Ebm7', 'Bb7', 'C#m7', 'Cm7', 'F7', 'Bb7', 'Cm7']",Seven Steps To Heaven,F,Gm7
"Dm7, Ab7, G7, Gm7, C7, Eb6, E6, F6, C^7, Dm7, Em7, Fm7, Bb7, Eb^7, Abm7, Db7, Gb^7, Gm7, C7, F^7","['Fm6', 'Fm6', 'Fm6', 'Fm6', 'F7', 'Bbm7', 'Bbm7', 'Fm6', 'Fm6', 'Db7', 'C7', 'Fm6', 'G%7']",Seven Steps To Heaven,F,Bb7
"Gm7, C7, Eb6, E6, F6, C^7, Dm7, Em7, Fm7, Bb7, Eb^7, Abm7, Db7, Gb^7, Gm7, C7, F^7, Bb7, E%7, A7","['C7', 'C7', 'C7', 'C7', 'F7', 'F7', 'C7', 'A7', 'Dm7', 'G7', 'Em7', 'A7', 'Dm7']",Seven Steps To Heaven,F,Dm7
"E6, F6, C^7, Dm7, Em7, Fm7, Bb7, Eb^7, Abm7, Db7, Gb^7, Gm7, C7, F^7, Bb7, E%7, A7, Dm7, Ab7, G7","['Cm^7', 'Cm^7', 'Gm7', 'C7', 'F^7', 'F^7', 'Fm7', 'Bb7', 'Eb^7', 'Ebm7', 'Ab7', 'Db^7', 'D%7']",Seven Steps To Heaven,F,Gm7
"Dm7, Em7, Fm7, Bb7, Eb^7, Abm7, Db7, Gb^7, Gm7, C7, F^7, Bb7, E%7, A7, Dm7, Ab7, G7, Gm7, C7, Eb6","['Bb7', 'Eb7', 'Bb7', 'Bb7', 'Eb7', 'Eb7', 'Bb7', 'Bb7', 'Cm7', 'F7', 'Bb7', 'G7', 'Cm7']",Seven Steps To Heaven,F,E6
"Eb^, Cm7, Eb^, Ab7, Eb^, Ab7, Eb^, Cm7, Fm7, Bb7, Fm7, Bb7, Eb^, Ab6, Eb^, Eb^, Ab6, Eb^, A%7, D7","['Db7', 'Gb7', 'Db7', 'Db7', 'Gb7', 'Gb7', 'Db7', 'Db7', 'Ebm7', 'Ab7', 'Db7', 'Bb7', 'Ebm7']",Ol' Man River,E-,Gm
"Ab7, Eb^, Ab7, Eb^, Cm7, Fm7, Bb7, Fm7, Bb7, Eb^, Ab6, Eb^, Eb^, Ab6, Eb^, A%7, D7, Gm, D7, Gm","['C7', 'F7', 'C7', 'C7', 'F7', 'Fm7', 'C7', 'C7', 'Cm7', 'Dbm7', 'Bm7', 'Am7', 'C7']",Ol' Man River,E-,D7
"Eb^, Cm7, Fm7, Bb7, Fm7, Bb7, Eb^, Ab6, Eb^, Eb^, Ab6, Eb^, A%7, D7, Gm, D7, Gm, D7, Gm, D7","['F7', 'Bb7', 'F7', 'F7', 'Bb7', 'Bb7', 'F7', 'Am7', 'D7', 'Gm7', 'C7', 'F7', 'D7', 'Gm7']",Ol' Man River,E-,Gm
"Bb7, Fm7, Bb7, Eb^, Ab6, Eb^, Eb^, Ab6, Eb^, A%7, D7, Gm, D7, Gm, D7, Gm, D7, Gm, D7, Gm","['F7', 'Bb7', 'F7', 'F7', 'Bb7', 'Bo7', 'F7', 'Am7', 'D7', 'Gm7', 'C7', 'F7', 'D7', 'Gm7']",Ol' Man River,E-,Cm6
"Eb^, Ab6, Eb^, Eb^, Ab6, Eb^, A%7, D7, Gm, D7, Gm, D7, Gm, D7, Gm, D7, Gm, Cm6, Gm, D7","['C#m7', 'F#7', 'Go7', 'G#m7', 'Em7', 'C#m7', 'G#m7', 'Dm7', 'E7', 'Am7', 'Fm7', 'Bb7', 'Am7', 'Em7']",Ol' Man River,E-,Gm
"Eb^, Ab6, Eb^, A%7, D7, Gm, D7, Gm, D7, Gm, D7, Gm, D7, Gm, Cm6, Gm, D7, Gm, D7, Gm7","['Eb7', 'Ab7', 'Eb7', 'Eb7', 'Ab7', 'Ab7', 'Eb7', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Eb7', 'C7', 'Fm7']",Ol' Man River,E-,Fm7
"A%7, D7, Gm, D7, Gm, D7, Gm, D7, Gm, D7, Gm, Cm6, Gm, D7, Gm, D7, Gm7, Fm7, Bb7, Eb^","['F7', 'Bb7', 'F7', 'Cm7', 'F7', 'Bb7', 'Bo7', 'F7', 'Am7', 'D7', 'Gm7', 'C7', 'F7', 'D7', 'Gm7']",Ol' Man River,E-,Cm7
"D7, Gm, D7, Gm, D7, Gm, D7, Gm, Cm6, Gm, D7, Gm, D7, Gm7, Fm7, Bb7, Eb^, Cm7, Eb^, Ab7","['Fm6', 'G%7', 'C7', 'Fm6', 'C%7', 'F7', 'Bbm7', 'Bbm7', 'Fm6', 'Fm6', 'Abm7', 'Db7', 'G%7', 'C7', 'Fm6']",Ol' Man River,E-,Eb^
"Gm, D7, Gm, D7, Gm, Cm6, Gm, D7, Gm, D7, Gm7, Fm7, Bb7, Eb^, Cm7, Eb^, Ab7, Eb^, Bb7, Cm7","['Gm6', 'A7', 'Dm7', 'Db7', 'Cm7', 'F7', 'Bb^7', 'A7', 'Dm6', 'E7', 'Am7', 'Dm7', 'Gm6', 'A7', 'Dm6']",Ol' Man River,E-,F7
"D7, Gm, Cm6, Gm, D7, Gm, D7, Gm7, Fm7, Bb7, Eb^, Cm7, Eb^, Ab7, Eb^, Bb7, Cm7, F7, Eb^, Bo7","['Ab^7', 'Eb7', 'G%7', 'C7', 'Fm7', 'Db7', 'Bb7', 'Db7', 'Ab^7', 'B7', 'Bbm7', 'Eb7', 'Ab^7', 'Ab^7', 'A7']",Ol' Man River,E-,Cm7
"Gm, D7, Gm, D7, Gm7, Fm7, Bb7, Eb^, Cm7, Eb^, Ab7, Eb^, Bb7, Cm7, F7, Eb^, Bo7, Cm7, Fm7, Bb7","['Fm7', 'Fm7', 'Fm7', 'Fm7', 'Db7', 'Db7', 'Db7', 'Db7', 'Dm7', 'Dm7', 'Dm7', 'Dm7', 'Fm7', 'Fm7', 'Fm7']",Ol' Man River,E-,Eb6
"Gm7, E%7, Eb7, Dm7, Gm7, Cm7, F7, Bb7, Eb7, Ab7, Dm7, Gm7, Cm7, D7, Gm7, E%7, Eb7, Dm7, Gm7, Cm7","['Cm7', 'Cm7', 'Cm7', 'Cm7', 'Cm7', 'Cm7', 'Cm7', 'Cm7', 'Ab^7', 'Ab^7', 'Ab^7', 'Ab^7', 'G7', 'G7', 'G7']",Forever Sonny,B-,F7
"Dm7, Gm7, Cm7, F7, Bb7, Eb7, Ab7, Dm7, Gm7, Cm7, D7, Gm7, E%7, Eb7, Dm7, Gm7, Cm7, F7, Bb7, Eb7","['Bbm7', 'Dbm7', 'Em7', 'Gm7', 'Cm7', 'D7', 'Gm7', 'A7', 'Dm7', 'Bm7', 'Abm7', 'Fm7', 'Dm7', 'Eb^', 'Ebm7']",Forever Sonny,B-,Ab7
"F7, Bb7, Eb7, Ab7, Dm7, Gm7, Cm7, D7, Gm7, E%7, Eb7, Dm7, Gm7, Cm7, F7, Bb7, Eb7, Ab7, Cm7, F7","['G^7', 'F7', 'Eb7', 'D7', 'G^7', 'F7', 'Eb7', 'D7', 'G^7', 'F7', 'Eb7', 'D7', 'G^7', 'F7', 'Eb7']",Forever Sonny,B-,Bb^7
"Ab7, Dm7, Gm7, Cm7, D7, Gm7, E%7, Eb7, Dm7, Gm7, Cm7, F7, Bb7, Eb7, Ab7, Cm7, F7, Bb^7, D7, D7","['C^7', 'B^7', 'Bb^7', 'A7', 'Dm7', 'Dm7', 'Fm7', 'Bb7', 'E7', 'A7', 'D7', 'G7', 'C7', 'F7', 'C^7']",Forever Sonny,B-,G7
"Cm7, D7, Gm7, E%7, Eb7, Dm7, Gm7, Cm7, F7, Bb7, Eb7, Ab7, Cm7, F7, Bb^7, D7, D7, G7, G7, C7","['Fm7', 'Fm7', 'E^7', 'Gb^7', 'Bb7', 'Db7', 'Ab^7', 'Ab^7', 'Cm7', 'Cm7', 'Db7', 'Cm7', 'Db7', 'Dbm7', 'Db7']",Forever Sonny,B-,C7
"E%7, Eb7, Dm7, Gm7, Cm7, F7, Bb7, Eb7, Ab7, Cm7, F7, Bb^7, D7, D7, G7, G7, C7, C7, F7, F7","['Ab^7', 'Db^7', 'G%7', 'C7', 'B^7', 'B^7', 'Bb%7', 'Eb7', 'E^7', 'Asus', 'D7', 'Gbsus', 'Esus', 'Eb7', 'Bbm^7']",Forever Sonny,B-,D7
"Gm7, Cm7, F7, Bb7, Eb7, Ab7, Cm7, F7, Bb^7, D7, D7, G7, G7, C7, C7, F7, F7, D7, Gm7, E%7","['F7', 'Bb7', 'F7', 'Cm7', 'F7', 'Bb7', 'Bo7', 'F7', 'Am7', 'D7', 'Gm7', 'C7', 'F7', 'D7', 'Gm7']",Forever Sonny,B-,Eb7
"Bb7, Eb7, Ab7, Cm7, F7, Bb^7, D7, D7, G7, G7, C7, C7, F7, F7, D7, Gm7, E%7, Eb7, Dm7, Gm7","['Am7', 'D7', 'G^7', 'G^7', 'Am7', 'D7', 'G^7', 'G^7', 'Dm7', 'G7', 'Cm7', 'F7', 'Am7', 'D7', 'G^7']",Forever Sonny,B-,Cm7
"Cm7, F7, Bb^7, D7, D7, G7, G7, C7, C7, F7, F7, D7, Gm7, E%7, Eb7, Dm7, Gm7, Cm7, F7, Bb7","['C6', 'C+', 'F#+', 'Bb^7', 'Fm7', 'Fm7', 'Cm', 'Cm', 'Fm^7', 'Cm7', 'Fm7', 'Bb^7', 'Fm^7', 'Bb^7', 'Fm7']",Forever Sonny,B-,Eb7
"D7, D7, G7, G7, C7, C7, F7, F7, D7, Gm7, E%7, Eb7, Dm7, Gm7, Cm7, F7, Bb7, Eb7, Ab7, Cm7","['F7', 'Bb7', 'F7', 'Cm7', 'F7', 'Bb7', 'Bb7', 'F7', 'Am7', 'D7', 'Gm7', 'C7', 'F7', 'D7', 'Gm7']",Forever Sonny,B-,F7
"Fm7, Bb7, Gm7, C7, D%7, G7, Cm7, Cm7, A%7, Abm6, Eb6, Gbo7, Fm7, C7, F7, C7, Fm7, Bb7, Gm7, C7","['Db^7', 'D^7', 'Em', 'F^7', 'Db^7', 'D^7', 'A7', 'D7', 'Abm7', 'Gm7', 'D^', 'Am7', 'Cm7', 'Gm^7', 'Asus']",Give Me The Simple Life,E-,D%7
"C7, D%7, G7, Cm7, Cm7, A%7, Abm6, Eb6, Gbo7, Fm7, C7, F7, C7, Fm7, Bb7, Gm7, C7, D%7, G7, Cm7","['C7', 'C7', 'Bb7', 'Bb7', 'C7', 'C7', 'Bb7', 'Bb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'D7', 'Db7', 'C7']",Give Me The Simple Life,E-,Cm7
"Cm7, Cm7, A%7, Abm6, Eb6, Gbo7, Fm7, C7, F7, C7, Fm7, Bb7, Gm7, C7, D%7, G7, Cm7, Cm7, A%7, Abm6","['Bb7', 'Bb7', 'F7', 'F7', 'E7', 'Db^', 'Cm7', 'Cm7', 'Eb7', 'Eb7', 'Dm', 'Bb7', 'Dm', 'Bb7', 'Dm']",Give Me The Simple Life,E-,Eb6
"Abm6, Eb6, Gbo7, Fm7, C7, F7, C7, Fm7, Bb7, Gm7, C7, D%7, G7, Cm7, Cm7, A%7, Abm6, Eb6, Gbo7, Fm7","['Ab^7', 'Db^7', 'Cm7', 'F7', 'Bbm7', 'Eb7', 'Ab^7', 'F7', 'Bbm7', 'Dbm7', 'Cm7', 'F7', 'Bbm7', 'Eb7', 'Ab^7']",Give Me The Simple Life,E-,Bb7
"Fm7, C7, F7, C7, Fm7, Bb7, Gm7, C7, D%7, G7, Cm7, Cm7, A%7, Abm6, Eb6, Gbo7, Fm7, Bb7, Eb6, Cm7","['F7', 'Bb7', 'F7', 'Cm7', 'F7', 'Bb7', 'Bo7', 'F7', 'Am7', 'D7', 'Gm7', 'C7', 'F7', 'D7', 'Gm7']",Give Me The Simple Life,E-,Fm7
"C7, Fm7, Bb7, Gm7, C7, D%7, G7, Cm7, Cm7, A%7, Abm6, Eb6, Gbo7, Fm7, Bb7, Eb6, Cm7, Fm7, Bb7, Gm7","['F7', 'F7', 'F7', 'F7', 'Bb7', 'Bb7', 'F7', 'F7', 'C7', 'Bb7', 'C7', 'Bb7', 'C7', 'Bb7', 'F7']",Give Me The Simple Life,E-,C7
"Gm7, C7, D%7, G7, Cm7, Cm7, A%7, Abm6, Eb6, Gbo7, Fm7, Bb7, Eb6, Cm7, Fm7, Bb7, Gm7, C7, Fm7, Bb7","['Em7', 'Em7', 'C6', 'C6', 'B7', 'B7', 'Em7', 'Em7', 'Em7', 'Em7', 'C6', 'C6', 'B7', 'B7', 'Em7']",Give Me The Simple Life,E-,Eb^7
"G7, Cm7, Cm7, A%7, Abm6, Eb6, Gbo7, Fm7, Bb7, Eb6, Cm7, Fm7, Bb7, Gm7, C7, Fm7, Bb7, Eb^7, D%7, G7","['Cm6', 'Cm6', 'Fm7', 'Fm7', 'D%7', 'G7', 'Cm6', 'Cm6', 'Ab^7', 'G7', 'Cm6', 'Cm6', 'A%7', 'D7', 'Gsus']",Give Me The Simple Life,E-,Cm7
"A%7, Abm6, Eb6, Gbo7, Fm7, Bb7, Eb6, Cm7, Fm7, Bb7, Gm7, C7, Fm7, Bb7, Eb^7, D%7, G7, Cm7, F7, Bb7","['Cm7', 'Cm7', 'Fm7', 'Fm7', 'D%7', 'G7', 'Cm7', 'Cm7', 'Ebm7', 'Ab7', 'Db^7', 'Db^7', 'D%7', 'G7', 'Cm7', 'D%7']",Give Me The Simple Life,E-,Fm7
"Gbo7, Fm7, Bb7, Eb6, Cm7, Fm7, Bb7, Gm7, C7, Fm7, Bb7, Eb^7, D%7, G7, Cm7, F7, Bb7, Fm7, Bb7, Gm7","['Cm7', 'F7', 'D^', 'Bb^7', 'A%7', 'D7', 'Gm7', 'C7', 'B^7', 'F#^7', 'G#m7', 'B^7', 'Gb^7', 'Gbsus', 'Fm7', 'D%7']",Give Me The Simple Life,E-,C7
"Eb6, Cm7, Fm7, Bb7, Gm7, C7, Fm7, Bb7, Eb^7, D%7, G7, Cm7, F7, Bb7, Fm7, Bb7, Gm7, C7, D%7, G7","['Dm', 'Dm7', 'Dm6', 'D7', 'Gm7', 'C7', 'F^7', 'Bb^7', 'E%7', 'A7', 'Dm', 'F7', 'Bb7']",Give Me The Simple Life,E-,Cm7
"Bb7, Gm7, C7, Fm7, Bb7, Eb^7, D%7, G7, Cm7, F7, Bb7, Fm7, Bb7, Gm7, C7, D%7, G7, Cm7, Cm7, A%7","['Bb6', 'Bb6', 'Cm7', 'Cm7', 'F7', 'F7', 'Bb6', 'Bb6', 'Gm7', 'Gm7', 'Cm7', 'Cm7', 'Cm7', 'Cm7', 'F7', 'Bb6']",Give Me The Simple Life,E-,Abm6
"Fm7, Bb7, Eb^7, D%7, G7, Cm7, F7, Bb7, Fm7, Bb7, Gm7, C7, D%7, G7, Cm7, Cm7, A%7, Abm6, Eb6, Gbo7","['Cm7', 'D%7', 'G7', 'Cm7', 'G7', 'Cm7', 'Cm7', 'Gsus', 'G7', 'Cm7', 'Gb7', 'Fm7', 'Eb7', 'D%7', 'G7', 'Cm7']",Give Me The Simple Life,E-,Fm7
"D%7, G7, Cm7, F7, Bb7, Fm7, Bb7, Gm7, C7, D%7, G7, Cm7, Cm7, A%7, Abm6, Eb6, Gbo7, Fm7, Bb7, Eb6","['B7', 'G#m6', 'Em^7', 'B^', 'B7', 'G#m6', 'Em^7', 'B^', 'B7', 'E^7', 'C#7', 'E^7', 'G7', 'B^', 'G#m7', 'Em^7']",Give Me The Simple Life,E-,C7
"Eb^7, Eo7, F7, Bb7, A%7, Abm7, G%7, C7, Fm7, Abm6, Bbsus, Bb7, Eb6, Gbo7, Fm7, Bb7, Eb^7, Eo7, F7, Bb7","['F^', 'F^', 'F^', 'F^', 'F^', 'F^', 'C7', 'C7', 'F^', 'F7', 'Bb^', 'Bbm', 'F^', 'G7', 'C7', 'F^']",Keepin' Myself For You,E-,A%7
"Bb7, A%7, Abm7, G%7, C7, Fm7, Abm6, Bbsus, Bb7, Eb6, Gbo7, Fm7, Bb7, Eb^7, Eo7, F7, Bb7, A%7, Abm7, G%7","['Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'C7', 'C7', 'Fm', 'Fm', 'Fm', 'Fm', 'F7', 'Bb7', 'G7', 'C7']",Keepin' Myself For You,E-,C7
"G%7, C7, Fm7, Abm6, Bbsus, Bb7, Eb6, Gbo7, Fm7, Bb7, Eb^7, Eo7, F7, Bb7, A%7, Abm7, G%7, C7, Fm7, Abm6","['F^7', 'Gb^7', 'F^7', 'Eb^7', 'Dm7', 'Eb^7', 'Dm7', 'Cm7', 'Bbm7', 'Am7', 'Bb^7', 'E%7', 'A7', 'Dm7', 'Gm7', 'Gb^7', 'Fm7']",Keepin' Myself For You,E-,Bbsus
"Abm6, Bbsus, Bb7, Eb6, Gbo7, Fm7, Bb7, Eb^7, Eo7, F7, Bb7, A%7, Abm7, G%7, C7, Fm7, Abm6, Bbsus, Bb7, Eb6","['Eb^7', 'D^7', 'Gb^7', 'F^7', 'A7', 'Bb^7', 'Bbm7', 'Bbm7', 'Bbm7', 'Bbm7', 'Dm7', 'Bm7', 'Abm7', 'Abm7', 'Fm7', 'Abm7', 'Gb^7']",Keepin' Myself For You,E-,Fm7
"Eb6, Gbo7, Fm7, Bb7, Eb^7, Eo7, F7, Bb7, A%7, Abm7, G%7, C7, Fm7, Abm6, Bbsus, Bb7, Eb6, Fm7, Eb6, B7","['Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'Cm7', 'Fsus', 'Fsus', 'Bb^7', 'Bb^7', 'G7', 'Cm7', 'F7', 'Bb^7', 'Bb^7', 'Bb^7']",Keepin' Myself For You,E-,E^7
"Bb7, Eb^7, Eo7, F7, Bb7, A%7, Abm7, G%7, C7, Fm7, Abm6, Bbsus, Bb7, Eb6, Fm7, Eb6, B7, E^7, C#m7, F#m7","['C^7', 'C^7', 'Fm7', 'Bb7', 'C^7', 'C^7', 'Bbm7', 'Eb7', 'Ab^7', 'Ab^7', 'Am7', 'D7', 'Dm7', 'G7', 'C^7', 'Eb^7', 'Ab^7']",Keepin' Myself For You,E-,B7
